(0.5, 0.375)
(0.5291666666666667, 0.3541666666666667)
(0.5583333333333333, 0.3333333333333333)
(0.5875, 0.3125)
(0.6166666666666667, 0.2916666666666667)
(0.6458333333333333, 0.27083333333333337)
(0.675, 0.25)
(0.7041666666666666, 0.22916666666666669)
(0.7333333333333333, 0.20833333333333334)
(0.7625, 0.1875)
(0.7916666666666666, 0.16666666666666669)
(0.8208333333333333, 0.14583333333333334)









(0.85, 0.125)
(0.8, 0.125)
(0.75, 0.125)
(0.7433333333333333, 0.15833333333333333)
(0.7366666666666667, 0.19166666666666665)
(0.73, 0.225)
(0.7233333333333334, 0.2583333333333333)
(0.7166666666666667, 0.29166666666666663)
(0.71, 0.325)
(0.7033333333333334, 0.35833333333333334)
(0.6966666666666667, 0.39166666666666666)
(0.6900000000000001, 0.425)
(0.6833333333333333, 0.4583333333333333)
(0.6766666666666666, 0.49166666666666664)
(0.67, 0.525)
(0.6633333333333333, 0.5583333333333333)
(0.6566666666666667, 0.5916666666666667)
(0.65, 0.625)
(0.63125, 0.59375)
(0.6125, 0.5625)
(0.59375, 0.53125)
(0.575, 0.5)
(0.55625, 0.46875)
(0.5375, 0.4375)
(0.51875, 0.40625)
(0.5, 0.375)
